Metric,Value
CaseId,case_000179
Transcript,"Lithuania is famous for its amber, used in jewelry and traditional medicine."
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.005
EstimatedTextDurationSec,5.61154
AudioDurationSec,4.77688
EffectiveSegmentScaleMax,1.19368
ScaleCapHitCount,0
CommitLeadMeanSec,0.0847152
MaxVisiblePoseGapSec,0.366666
VisiblePoseGapCountOver250ms,2
