Metric,Value
CaseId,case_000213
Transcript,The Philippines has delicious seafood and tropical fruits. What can I offer you today?
PlannedEventCount,33
CommittedEventCount,33
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.030303
PeakTimingMAEMs,10.7671
EstimatedTextDurationSec,6.68581
AudioDurationSec,5.01687
EffectiveSegmentScaleMax,1.33914
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0568323
MaxVisiblePoseGapSec,0.3
VisiblePoseGapCountOver250ms,1
