Metric,Value
CaseId,case_000062
Transcript,"Even in my sick days, I find a little spice helps. What's your take on bland food?"
PlannedEventCount,27
CommittedEventCount,27
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.7021
EstimatedTextDurationSec,3.88871
AudioDurationSec,4.61688
EffectiveSegmentScaleMax,1.28765
ScaleCapHitCount,0
CommitLeadMeanSec,0.0195644
MaxVisiblePoseGapSec,0.366666
VisiblePoseGapCountOver250ms,2
