Metric,Value
CaseId,case_000096
Transcript,"Maybe next time you can try something a bit milder. Here, let me grab you a bag of kettle chips instead."
PlannedEventCount,36
CommittedEventCount,36
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,13.3566
EstimatedTextDurationSec,5.03459
AudioDurationSec,5.97687
EffectiveSegmentScaleMax,1.15742
ScaleCapHitCount,0
CommitLeadMeanSec,-0.00764701
MaxVisiblePoseGapSec,0.4
VisiblePoseGapCountOver250ms,1
