Metric,Value
CaseId,case_000194
Transcript,"Oman has the longest unbroken wall in the world, the Great Wall of Al Mirani."
PlannedEventCount,33
CommittedEventCount,33
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.16687
EstimatedTextDurationSec,3.15723
AudioDurationSec,5.17688
EffectiveSegmentScaleMax,1.21926
ScaleCapHitCount,0
CommitLeadMeanSec,0.0713577
MaxVisiblePoseGapSec,0.646665
VisiblePoseGapCountOver250ms,1
