EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,09_Oh,OOO,oman,0,0,0,0.021931,0.0346207,0.82,SimpleBudgetV1
1,22_MBP,MBP,oman,0,0,0.0211034,0.0409655,0.0979831,1,SimpleBudgetV1
2,07_Aa,AAA,oman,0,0,0.0264828,0.0695172,0.151547,0.86,SimpleBudgetV1
3,07_Aa,AAA,has,1,0,0.101266,0.116614,0.34395,0.86,SimpleBudgetV1
4,24_Tongue_Th,FVS,the,2,0,0.129671,0.139671,0.425187,0.42,SimpleBudgetV1
5,06_Eh,EEE,the,2,0,0.147762,0.164013,0.492172,0.74,SimpleBudgetV1
6,09_Oh,OOO,longest,3,0,0.179189,0.202361,0.60232,0.82,SimpleBudgetV1
7,06_Eh,EEE,longest,3,0,0.199523,0.242558,0.697877,0.74,SimpleBudgetV1
8,06_Eh,EEE,unbroken,4,0,0.261442,0.290784,0.871753,0.74,SimpleBudgetV1
9,22_MBP,MBP,unbroken,4,0,0.277523,0.304608,0.918963,1,SimpleBudgetV1
10,10_Or,OOO,unbroken,4,0,0.298683,0.330282,0.992896,0.22,SimpleBudgetV1
11,06_Eh,EEE,unbroken,4,0,0.291912,0.350596,1.01427,0.74,SimpleBudgetV1
12,06_Eh,EEE,unbroken,4,0,0.329436,0.365549,1.09711,0.74,SimpleBudgetV1
13,12_Ww-Oo-,WUH,wall,5,0,0.367398,0.387461,1.19163,1,SimpleBudgetV1
14,07_Aa,AAA,wall,5,0,0.388715,0.421317,1.27873,0.86,SimpleBudgetV1
15,04_Ih,EEE,in,6,0,0.449856,0.465204,1.44453,0.22,SimpleBudgetV1
16,24_Tongue_Th,FVS,the,7,0,0.47826,0.48826,1.52577,0.42,SimpleBudgetV1
17,06_Eh,EEE,the,7,0,0.496351,0.512602,1.59275,0.74,SimpleBudgetV1
18,12_Ww-Oo-,WUH,world,8,0,0.520376,0.540439,1.67462,1,SimpleBudgetV1
19,09_Oh,OOO,world,8,0,0.541693,0.574295,1.76172,0.82,SimpleBudgetV1
20,24_Tongue_Th,FVS,the,9,1,0.62058,0.63058,1.9751,0.42,SimpleBudgetV1
21,06_Eh,EEE,the,9,1,0.638671,0.654922,2.04209,0.74,SimpleBudgetV1
22,03_Ee,EEE,great,10,1,0.684013,0.716614,2.21105,0.86,SimpleBudgetV1
23,12_Ww-Oo-,WUH,wall,11,1,0.725392,0.745455,2.3219,1,SimpleBudgetV1
24,07_Aa,AAA,wall,11,1,0.746709,0.77931,2.409,0.86,SimpleBudgetV1
25,09_Oh,OOO,of,12,1,0.80785,0.823197,2.5748,0.82,SimpleBudgetV1
26,20_FV,FVS,of,12,1,0.817781,0.828614,2.59903,1,SimpleBudgetV1
27,07_Aa,AAA,al,13,1,0.835737,0.853292,2.66633,0.86,SimpleBudgetV1
28,22_MBP,MBP,mirani,14,1,0.895122,0.919799,2.86507,1,SimpleBudgetV1
29,04_Ih,EEE,mirani,14,1,0.908489,0.937279,2.91376,0.68,SimpleBudgetV1
30,10_Or,OOO,mirani,14,1,0.936251,0.965041,3.00141,0.22,SimpleBudgetV1
31,07_Aa,AAA,mirani,14,1,0.930081,0.983549,3.02089,0.86,SimpleBudgetV1
32,07_Aa,AAA,mirani,14,1,0.966069,0.996915,3.0988,0.86,SimpleBudgetV1
