ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,04_Ih,indeed,0,0,0.0415405,0.630551,0.57,0.691103,0.68,0.110551,0.12,1.45764
1,1,03_Ee,indeed,0,0,0.215763,0.770551,0.683051,0.858051,0.86,0.0905513,0.12,1.5
2,2,04_Ih,it,1,1,0.944696,1.46605,1.43156,1.50055,0.54,0.106052,0.12,1
3,3,06_Eh,does,2,1,1.19338,1.7408,1.66752,1.81407,0.74,0.100798,0.12,1
4,4,07_Aa,have,3,1,1.42943,1.95427,1.91978,1.98877,0.86,-0.752601,0.15,1
5,5,20_FV,have,3,1,1.43856,1.96427,1.93677,1.99177,1,-0.742601,0.15,1
6,6,07_Aa,a,4,1,1.63234,2.15719,2.12269,2.19168,0.86,-0.54969,0.15,1
7,7,03_Ee,lively,5,1,1.80076,2.3256,2.26552,2.38569,0.86,-0.381273,0.15,1
8,8,20_FV,lively,5,1,1.91014,2.43499,2.37952,2.49045,1,-0.271888,0.15,1
9,9,03_Ee,lively,5,1,1.98563,2.51048,2.42298,2.59798,0.86,-0.196398,0.15,1
10,10,03_Ee,lively,5,1,2.09656,2.6214,2.55207,2.69073,0.86,-0.0854728,0.15,1
11,11,20_FV,flavor,6,1,2.22439,2.74924,2.7046,2.79388,1,0.0423617,0.15,1
12,12,07_Aa,flavor,6,1,2.39551,2.88924,2.80174,2.97674,0.86,0.182362,0.15,1
13,13,10_Or,flavor,6,1,2.45876,2.9836,2.92408,3.04312,0.72,0.276725,0.15,1
