EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,04_Ih,EEE,indeed,0,0,0,0.0368961,0.0415405,0.68,SimpleBudgetV1
1,03_Ee,EEE,indeed,0,0,0.0528661,0.138773,0.215763,0.86,SimpleBudgetV1
2,04_Ih,EEE,it,1,1,0.270989,0.301627,0.644696,0.54,SimpleBudgetV1
3,06_Eh,EEE,does,2,1,0.364205,0.429287,0.893375,0.74,SimpleBudgetV1
4,07_Aa,AAA,have,3,1,0.486258,0.516896,1.12943,0.86,SimpleBudgetV1
5,20_FV,FVS,have,3,1,0.494819,0.516446,1.13856,1,SimpleBudgetV1
6,07_Aa,AAA,a,4,1,0.57637,0.607009,1.33234,0.86,SimpleBudgetV1
7,03_Ee,EEE,lively,5,1,0.6398,0.693166,1.50076,0.86,SimpleBudgetV1
8,20_FV,FVS,lively,5,1,0.69043,0.739691,1.61014,1,SimpleBudgetV1
9,03_Ee,EEE,lively,5,1,0.695219,0.801952,1.68563,0.86,SimpleBudgetV1
10,03_Ee,EEE,lively,5,1,0.767059,0.828636,1.79656,0.86,SimpleBudgetV1
11,20_FV,FVS,flavor,6,1,0.834793,0.874443,1.92439,1,SimpleBudgetV1
12,07_Aa,AAA,flavor,6,1,0.887659,0.973567,2.09551,0.86,SimpleBudgetV1
13,10_Or,OOO,flavor,6,1,0.932265,0.985131,2.15876,0.72,SimpleBudgetV1
