word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,make,0.230000,0.560000,0,-1,-1
1,sure,0.560000,0.860000,0,-1,-1
2,your,0.860000,1.080000,0,-1,-1
3,wallet's,1.080000,1.450000,0,-1,-1
4,safe,1.450000,2.010000,0,-1,-1
5,lock,2.270000,2.620000,1,-1,-1
6,the,2.620000,2.730000,1,-1,-1
7,door,2.730000,3.180000,1,-1,-1
8,and,3.430000,3.650000,2,-1,-1
9,give,3.650000,3.860000,2,-1,-1
10,me,3.860000,4.000000,2,-1,-1
11,a,4.000000,4.050000,2,-1,-1
12,smile,4.050000,4.610000,2,-1,-1
