Metric,Value
CaseId,case_000175
Transcript,"Moldova is known for its wine, not just in quantity but in quality too."
PlannedEventCount,27
CommittedEventCount,27
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.90095
EstimatedTextDurationSec,2.8644
AudioDurationSec,4.69688
EffectiveSegmentScaleMax,1.36697
ScaleCapHitCount,0
CommitLeadMeanSec,0.0737751
MaxVisiblePoseGapSec,0.216666
VisiblePoseGapCountOver250ms,0
