Metric,Value
CaseId,case_000131
Transcript,"Kenya is home to the Great Rift Valley and Mount Kilimanjaro, the highest peak in Africa."
PlannedEventCount,35
CommittedEventCount,35
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0285714
PeakTimingMAEMs,10.1702
EstimatedTextDurationSec,3.83305
AudioDurationSec,4.85687
EffectiveSegmentScaleMax,1.41567
ScaleCapHitCount,0
CommitLeadMeanSec,0.0877913
MaxVisiblePoseGapSec,0.166669
VisiblePoseGapCountOver250ms,0
