Metric,Value
CaseId,case_000036
Transcript,Not many customers stick around long enough to be my favorite. What can I get for you?
PlannedEventCount,30
CommittedEventCount,30
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.596
EstimatedTextDurationSec,3.98191
AudioDurationSec,5.09688
EffectiveSegmentScaleMax,1.22047
ScaleCapHitCount,0
CommitLeadMeanSec,0.0490806
MaxVisiblePoseGapSec,0.233333
VisiblePoseGapCountOver250ms,0
