Metric,Value
CaseId,case_000182
Transcript,"Denmark has the longest straight in Europe, a 37.9 km stretch of road."
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.4465
EstimatedTextDurationSec,3.83177
AudioDurationSec,5.49687
EffectiveSegmentScaleMax,1.21265
ScaleCapHitCount,0
CommitLeadMeanSec,0.0700371
MaxVisiblePoseGapSec,0.216666
VisiblePoseGapCountOver250ms,0
