word_index,word,start,end,speech_region_index,sentence_index
0,walk,0.500000,0.900000,0,-1
1,past,0.900000,1.220000,0,-1
2,the,1.220000,1.290000,0,-1
3,bakery,1.290000,1.920000,0,-1
4,cross,2.320000,2.720000,1,-1
5,at,2.720000,2.810000,1,-1
6,the,2.810000,2.920000,1,-1
7,light,2.920000,3.280000,1,-1
8,and,3.610000,3.770000,2,-1
9,take,3.770000,4.000000,2,-1
10,the,4.000000,4.090000,2,-1
11,second,4.090000,4.490000,2,-1
12,street,4.490000,4.830000,2,-1
13,on,4.830000,4.970000,2,-1
14,your,4.970000,5.090000,2,-1
15,right,5.090000,5.450000,2,-1
