word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,albania,0.220000,0.870000,0,-1,-1
1,is,0.900000,1.030000,0,-1,-1
2,home,1.030000,1.380000,0,-1,-1
3,to,1.380000,1.490000,0,-1,-1
4,the,1.490000,1.640000,0,-1,-1
5,oldest,1.690000,2.060000,0,-1,-1
6,olive,2.130000,2.410000,0,-1,-1
7,tree,2.410000,2.670000,0,-1,-1
8,in,2.670000,2.750000,0,-1,-1
9,the,2.750000,2.830000,0,-1,-1
10,world,2.830000,3.250000,0,-1,-1
11,said,3.660000,3.950000,1,-1,-1
12,to,3.950000,4.030000,1,-1,-1
13,be,4.030000,4.270000,1,-1,-1
14,over,4.270000,4.520000,1,-1,-1
15,4,4.520000,4.850000,1,-1,-1
16,000,4.850000,5.280000,1,-1,-1
17,years,5.280000,5.540000,1,-1,-1
18,old,5.540000,5.880000,1,-1,-1
