Metric,Value
CaseId,case_000209
Transcript,Indonesia is rich in culture and has beautiful islands. What can I offer you today?
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.18932
EstimatedTextDurationSec,6.42644
AudioDurationSec,5.65688
EffectiveSegmentScaleMax,1.28709
ScaleCapHitCount,0
CommitLeadMeanSec,0.00762456
MaxVisiblePoseGapSec,0.750005
VisiblePoseGapCountOver250ms,1
