Metric,Value
CaseId,case_000143
Transcript,"Guinea is known for its beautiful Fouta Djallon highlands, often called the ""roof of West Africa."
PlannedEventCount,39
CommittedEventCount,39
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.4829
EstimatedTextDurationSec,8.06652
AudioDurationSec,5.25688
EffectiveSegmentScaleMax,1.34229
ScaleCapHitCount,0
CommitLeadMeanSec,0.297286
MaxVisiblePoseGapSec,0.48334
VisiblePoseGapCountOver250ms,2
