word_index,word,start,end,speech_region_index,sentence_index
0,they're,0.000000,0.290000,0,-1
1,made,0.290000,0.700000,0,-1
2,from,0.700000,0.990000,0,-1
3,bread,0.990000,1.410000,0,-1
4,and,1.480000,1.680000,0,-1
5,filled,1.680000,2.170000,0,-1
6,with,2.170000,2.350000,0,-1
7,tasty,2.350000,2.740000,0,-1
8,stuff,2.740000,3.230000,0,-1
9,like,3.330000,3.550000,0,-1
10,meat,3.550000,3.880000,0,-1
11,or,3.880000,3.970000,0,-1
12,veggies,3.970000,4.500000,0,-1
13,want,4.870000,5.050000,1,-1
14,to,5.050000,5.110000,1,-1
15,try,5.110000,5.360000,1,-1
16,one,5.360000,5.640000,1,-1
