index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,07_Aa,congo,0,0,0,0.027273,0.920000,AA,1,cmu_open_vowel
1,09_Oh,congo,0,0,0,0.081818,0.500000,OW,4,cmu_oh_vowel
2,07_Aa,has,1,0,0,0.121212,0.920000,AE,1,cmu_open_vowel
3,05_Ay,diverse,2,0,0,0.178788,0.680000,AY,1,cmu_ay
4,20_FV,diverse,2,0,0,0.196970,0.960000,V,2,cmu_fv
5,06_Eh,diverse,2,0,0,0.215152,0.920000,ER,3,cmu_eh_vowel
6,12_Ww-Oo-,wildlife,3,0,0,0.251082,0.880000,W,0,cmu_w
7,05_Ay,wildlife,3,0,0,0.268398,0.940000,AY,1,cmu_ay
8,20_FV,wildlife,3,0,0,0.354978,0.960000,F,6,cmu_fv
9,07_Aa,and,4,0,0,0.373737,0.500000,AH,0,cmu_open_vowel
10,07_Aa,lush,5,0,0,0.454545,0.920000,AH,1,cmu_open_vowel
11,14_ChJjSh,lush,5,0,0,0.474747,0.820000,SH,2,cmu_affricate_sibilant
12,07_Aa,landscapes,6,0,0,0.510101,0.920000,AE,1,cmu_open_vowel
13,06_Eh,landscapes,6,0,0,0.594276,0.920000,EY,6,cmu_eh_vowel
14,22_MBP,landscapes,6,0,0,0.611111,1.000000,P,7,cmu_bilabial
15,12_Ww-Oo-,want,7,1,1,0.643939,0.880000,W,0,cmu_w
16,07_Aa,want,7,1,1,0.659091,0.920000,AA,1,cmu_open_vowel
17,07_Aa,a,8,1,1,0.727273,0.500000,AH,0,cmu_open_vowel
18,07_Aa,sandwich,9,1,1,0.783550,0.920000,AE,1,cmu_open_vowel
19,12_Ww-Oo-,sandwich,9,1,1,0.835498,0.880000,W,4,cmu_w
20,14_ChJjSh,sandwich,9,1,1,0.870130,0.820000,CH,6,cmu_affricate_sibilant
21,03_Ee,instead,10,1,1,0.888889,0.920000,IH,0,cmu_front_vowel
22,06_Eh,instead,10,1,1,0.969697,0.920000,EH,4,cmu_eh_vowel
