Metric,Value
CaseId,case_000257
Transcript,Luanda has stunning beaches and a rich history. Enjoy exploring!
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0344828
PeakTimingMAEMs,9.91635
EstimatedTextDurationSec,2.52907
AudioDurationSec,4.05688
EffectiveSegmentScaleMax,1.25929
ScaleCapHitCount,0
CommitLeadMeanSec,0.0737041
MaxVisiblePoseGapSec,0.393336
VisiblePoseGapCountOver250ms,1
