word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,a,0.070000,0.130000,0,-1,-1
1,margarita,0.130000,1.060000,0,-1,-1
2,or,1.180000,1.310000,0,-1,-1
3,a,1.310000,1.370000,0,-1,-1
4,bloody,1.370000,1.810000,0,-1,-1
5,mary,1.810000,2.440000,0,-1,-1
6,with,2.740000,2.960000,1,-1,-1
7,chips,2.960000,3.590000,1,-1,-1
8,they're,3.630000,3.830000,1,-1,-1
9,a,3.830000,3.870000,1,-1,-1
10,match,3.870000,4.320000,1,-1,-1
11,made,4.320000,4.570000,1,-1,-1
12,in,4.570000,4.660000,1,-1,-1
13,heaven,4.660000,5.180000,1,-1,-1
