index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,22_MBP,spelled,0,0,0,0.021429,1.000000,P,1,cmu_bilabial
1,06_Eh,spelled,0,0,0,0.035714,0.920000,EH,2,cmu_eh_vowel
2,07_Aa,that,1,0,0,0.107143,0.920000,AE,1,cmu_open_vowel
3,09_Oh,wrong,2,0,0,0.178571,0.920000,AO,1,cmu_oh_vowel
4,03_Ee,didn't,3,1,0,0.250000,0.920000,IH,1,cmu_front_vowel
5,11_Oo,you,4,1,0,0.410714,0.920000,UW,1,cmu_oo_vowel
6,05_Ay,try,5,2,1,0.488095,0.940000,AY,2,cmu_ay
7,06_Eh,again,6,2,1,0.566964,0.920000,EH,2,cmu_eh_vowel
8,09_Oh,or,7,3,1,0.625000,0.920000,AO,0,cmu_oh_vowel
9,22_MBP,maybe,8,3,1,0.691964,1.000000,M,0,cmu_bilabial
10,06_Eh,maybe,8,3,1,0.718750,0.920000,EY,1,cmu_eh_vowel
11,03_Ee,maybe,8,3,1,0.772321,0.500000,IY,3,cmu_front_vowel
12,07_Aa,a,9,3,1,0.821429,0.500000,AH,0,cmu_open_vowel
13,07_Aa,sandwich,10,3,1,0.887755,0.920000,AE,1,cmu_open_vowel
14,12_Ww-Oo-,sandwich,10,3,1,0.948980,0.880000,W,4,cmu_w
15,14_ChJjSh,sandwich,10,3,1,0.989184,0.820000,CH,6,cmu_affricate_sibilant
