Metric,Value
CaseId,case_000126
Transcript,"South Africa is where the world's largest diamond, the Cullinan, was discovered."
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.2787
EstimatedTextDurationSec,3.23913
AudioDurationSec,4.77688
EffectiveSegmentScaleMax,1.17321
ScaleCapHitCount,0
CommitLeadMeanSec,0.0729091
MaxVisiblePoseGapSec,0.426667
VisiblePoseGapCountOver250ms,1
