index,start,center,end,pose,word,word_index,phrase_index,sentence_index,strength,reason,alignment_reason,source_phone_class,mapped_to_observed_speech
0,0.286500,0.354000,0.421500,09_Oh,austria,0,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
1,0.581500,0.649000,0.716500,03_Ee,austria,0,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
2,0.799000,0.854000,0.909000,05_Ay,is,1,0,0,0.940000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
3,0.906500,0.974000,1.041500,12_Ww-Oo-,where,2,0,0,0.880000,streaming_forced_alignment,streaming_forced_alignment_viterbi,glide,1
4,0.956500,1.024000,1.091500,06_Eh,where,2,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
5,1.071500,1.139000,1.206500,11_Oo,you'll,3,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
6,1.150000,1.200000,1.250000,20_FV,find,4,0,0,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
7,1.204000,1.259000,1.314000,05_Ay,find,4,0,0,0.940000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
8,1.491500,1.559000,1.626500,07_Aa,the,5,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
9,1.575000,1.625000,1.675000,20_FV,famous,6,0,0,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
10,1.691500,1.759000,1.826500,06_Eh,famous,6,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
11,1.792500,1.845000,1.897500,22_MBP,famous,6,0,0,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
12,2.171500,2.239000,2.306500,09_Oh,salzburg,7,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
13,2.887500,2.940000,2.992500,22_MBP,salzburg,7,0,0,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
14,3.006500,3.074000,3.141500,09_Oh,home,8,1,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
15,3.071500,3.124000,3.176500,22_MBP,home,8,1,0,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
16,3.106500,3.174000,3.241500,07_Aa,of,9,1,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
17,3.174000,3.224000,3.274000,20_FV,of,9,1,0,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
18,3.221500,3.274000,3.326500,22_MBP,mozart,10,1,0,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
19,3.256500,3.324000,3.391500,09_Oh,mozart,10,1,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
20,3.306499,3.374000,3.441500,07_Aa,mozart,10,1,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
