Metric,Value
CaseId,case_000210
Transcript,North Korea is mysterious and full of history. What can I offer you today?
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.87645
EstimatedTextDurationSec,3.20442
AudioDurationSec,4.93687
EffectiveSegmentScaleMax,1.20215
ScaleCapHitCount,0
CommitLeadMeanSec,0.068733
MaxVisiblePoseGapSec,0.406665
VisiblePoseGapCountOver250ms,1
