Metric,Value
CaseId,case_000211
Transcript,South Korea has amazing cuisine and technology. What can I offer you today?
PlannedEventCount,27
CommittedEventCount,27
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.81169
EstimatedTextDurationSec,3.09348
AudioDurationSec,4.69688
EffectiveSegmentScaleMax,1.22483
ScaleCapHitCount,0
CommitLeadMeanSec,0.071507
MaxVisiblePoseGapSec,0.256666
VisiblePoseGapCountOver250ms,1
