Metric,Value
CaseId,case_000089
Transcript,"Five dollars for a sandwich, that's a bargain. Chips are two. Can't go much lower without losing my toes!"
PlannedEventCount,35
CommittedEventCount,35
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.6308
EstimatedTextDurationSec,5.29241
AudioDurationSec,6.69688
EffectiveSegmentScaleMax,1.1167
ScaleCapHitCount,0
CommitLeadMeanSec,0.0206296
MaxVisiblePoseGapSec,0.433339
VisiblePoseGapCountOver250ms,2
