word_index,word,start,end,speech_region_index,sentence_index
0,i,0.890000,0.990000,0,-1
1,found,0.990000,1.250000,0,-1
2,your,1.250000,1.320000,0,-1
3,message,1.320000,1.670000,0,-1
4,this,1.670000,1.900000,0,-1
5,morning,1.900000,2.280000,0,-1
6,thank,4.100000,4.320000,1,-1
7,you,4.320000,4.430000,1,-1
8,for,4.430000,4.590000,1,-1
9,explaining,4.590000,5.060000,1,-1
10,the,5.060000,5.130000,1,-1
11,change,5.130000,5.560000,1,-1
12,so,5.560000,5.720000,1,-1
13,clearly,5.720000,6.190000,1,-1
