Metric,Value
CaseId,case_000268
Transcript,Johannesburg's got a rich history and amazing markets. Enjoy your exploration!
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.6818
EstimatedTextDurationSec,5.54791
AudioDurationSec,4.93687
EffectiveSegmentScaleMax,1.27188
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0120769
MaxVisiblePoseGapSec,0.683336
VisiblePoseGapCountOver250ms,3
