ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,09_Oh,soul,0,0,0.184218,0.452581,0.37,0.535161,0.82,0.0525807,0.09,1
1,1,20_FV,food,1,0,0.355732,0.624094,0.58598,0.662209,1,0.0640945,0.09,1
2,2,11_Oo,food,1,0,0.501837,0.764094,0.681514,0.846675,0.94,0.0840945,0.09,1
3,3,09_Oh,sounds,2,0,0.819455,1.08782,1.00524,1.1704,0.82,0.0878168,0.09,1
4,4,09_Oh,delicious,3,0,1.05576,1.32412,1.2498,1.39845,0.9,0.0841249,0.09,1
5,5,14_ChJjSh,delicious,3,0,1.26158,1.46412,1.39607,1.53217,0.703,0.0641251,0.09,1.08207
6,6,09_Oh,delicious,3,0,1.28445,1.55199,1.46449,1.63949,0.82,0.0749118,0.09,1.1276
7,7,09_Oh,delicious,3,0,1.42166,1.69199,1.60449,1.77949,0.82,0.0519938,0.09,1.13898
8,8,06_Eh,ever,4,1,2.05166,2.2887,2.23,2.34739,0.74,0.0886967,0.09,1
9,9,20_FV,ever,4,1,2.15648,2.39351,2.3432,2.44382,1,-0.633365,0.15,1
10,10,06_Eh,ever,4,1,2.24242,2.47946,2.39196,2.56696,0.74,-0.547418,0.15,1
11,11,03_Ee,tried,5,1,2.60273,2.83976,2.75718,2.92234,0.86,-0.187112,0.15,1
12,12,04_Ih,it,6,1,2.86877,3.1058,3.06692,3.14468,0.54,0.0789251,0.15,1
