ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,07_Aa,algeria,0,0,0.0477429,0.657637,0.61,0.705275,0.86,0.0976375,0.12,1.14033
1,1,10_Or,algeria,0,0,0.155164,0.780134,0.732496,0.827771,0.385924,0.100134,0.12,1.14033
2,2,07_Aa,algeria,0,0,0.244682,0.882214,0.831174,0.933254,0.86,0.0822139,0.12,1.14033
3,3,04_Ih,is,1,0,0.374374,1.03011,1.00261,1.05761,0.445438,0.110106,0.12,1.14033
4,4,09_Oh,known,2,0,0.534924,1.21319,1.15924,1.26713,0.82,0.0931865,0.12,1.14033
5,5,20_FV,for,3,0,0.627062,1.31825,1.29075,1.34575,1,0.118255,0.12,1.14033
6,6,10_Or,for,3,0,0.687322,1.38697,1.35947,1.41447,0.269084,0.106972,0.12,1.14033
7,7,04_Ih,its,4,0,0.847872,1.57005,1.51611,1.624,0.622822,0.0900527,0.12,1.14033
8,8,04_Ih,rich,5,0,1.02982,1.77753,1.72359,1.83148,0.22,0.097533,0.12,1.14033
9,9,14_ChJjSh,rich,5,0,1.04256,1.79206,1.76456,1.81956,0.682,0.112057,0.12,1.14033
10,10,03_Ee,history,6,0,1.15995,1.92592,1.88169,1.97016,0.86,0.0859231,0.12,1.14033
11,11,14_ChJjSh,history,6,0,1.26737,2.04842,2.01099,2.08585,0.661,0.0884193,0.12,1.14033
12,12,03_Ee,history,6,0,1.2793,2.06203,1.97453,2.14953,0.86,0.10203,0.12,1.14033
13,13,03_Ee,history,6,0,1.35092,2.14369,2.09265,2.19473,0.86,0.103694,0.12,1.14033
14,14,07_Aa,and,7,0,1.48061,2.41338,2.38589,2.44088,0.86,0.0982862,0.12,1.22625
15,15,04_Ih,diverse,8,0,1.5871,2.65987,2.61537,2.70438,0.68,0.0943344,0.12,1.32364
16,16,20_FV,diverse,8,0,1.62141,2.75918,2.71951,2.79885,1,0.0920959,0.12,1.37639
17,17,06_Eh,diverse,8,0,1.67493,2.8777,2.7902,2.9652,0.74,0.0991824,0.12,1.40885
18,18,18_Uh,culture,9,0,1.82727,3.25568,3.20316,3.30821,0.680188,-0.81119,0.15,1.5622
19,19,06_Eh,culture,9,0,1.9151,3.39568,3.30818,3.48318,0.74,-0.67119,0.15,1.5622
