Metric,Value
CaseId,case_000216
Transcript,New Zealand is famous for its fjords and sheep. What would you like to eat today?
PlannedEventCount,27
CommittedEventCount,27
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,12.7872
EstimatedTextDurationSec,3.34294
AudioDurationSec,4.13688
EffectiveSegmentScaleMax,1.31277
ScaleCapHitCount,0
CommitLeadMeanSec,0.029913
MaxVisiblePoseGapSec,0.233333
VisiblePoseGapCountOver250ms,0
