Metric,Value
CaseId,case_000164
Transcript,Did you know Denmark is where the first chocolate candy bar was invented?
PlannedEventCount,30
CommittedEventCount,30
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.2216
EstimatedTextDurationSec,2.83129
AudioDurationSec,3.65687
EffectiveSegmentScaleMax,1.28223
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0260753
MaxVisiblePoseGapSec,0.15
VisiblePoseGapCountOver250ms,0
