word_index,word,start,end,speech_region_index,sentence_index
0,the,0.610000,0.690000,0,-1
1,class,0.690000,1.090000,0,-1
2,studied,1.090000,1.540000,0,-1
3,circles,1.540000,2.220000,0,-1
4,squares,2.320000,3.080000,0,-1
5,triangles,3.210000,4.000000,1,-1
6,angles,4.300000,4.890000,2,-1
7,fractions,4.950000,5.650000,2,-1
8,patterns,5.650000,6.300000,2,-1
9,graphs,6.440000,7.070000,3,-1
10,and,7.240000,7.400000,4,-1
11,simple,7.400000,7.750000,4,-1
12,equations,7.750000,8.350000,4,-1
