start,end,pose,word,confidence
0.170000,0.390000,06_Eh,red,1.0
0.710000,0.880000,09_Oh,orange,1.0
1.180000,1.330000,14_ChJjSh,orange,1.0
1.490000,1.560000,06_Eh,yellow,1.0
1.670000,1.890000,09_Oh,yellow,1.0
2.130000,2.310000,03_Ee,green,1.0
2.430000,2.500000,22_MBP,blue,1.0
2.600000,2.860000,11_Oo,blue,1.0
2.910000,3.000000,03_Ee,indigo,1.0
3.240000,3.490000,09_Oh,indigo,1.0
3.520000,3.620000,20_FV,violet,1.0
3.620000,3.800000,05_Ay,violet,1.0
4.420000,4.500000,09_Oh,though,1.0
4.500000,4.590000,12_Ww-Oo-,we,1.0
4.590000,4.640000,03_Ee,we,1.0
4.740000,4.850000,09_Oh,don't,1.0
4.950000,5.050000,07_Aa,have,1.0
5.050000,5.120000,20_FV,have,1.0
5.220000,5.360000,06_Eh,rain,1.0
5.500000,5.580000,03_Ee,here,1.0
5.630000,5.670000,03_Ee,in,1.0
5.740000,5.770000,07_Aa,the,1.0
5.770000,5.850000,22_MBP,bodega,1.0
5.850000,5.900000,09_Oh,bodega,1.0
5.980000,6.120000,06_Eh,bodega,1.0
