start,end,pose,word,confidence
0.490000,0.590000,14_ChJjSh,chad,1.0
0.590000,0.810000,07_Aa,chad,1.0
0.900000,0.970000,07_Aa,has,1.0
1.030000,1.130000,20_FV,vast,1.0
1.130000,1.290000,07_Aa,vast,1.0
1.510000,1.620000,06_Eh,deserts,1.0
1.930000,2.020000,07_Aa,and,1.0
2.120000,2.200000,03_Ee,interesting,1.0
2.570000,2.650000,12_Ww-Oo-,wildlife,1.0
2.650000,2.770000,05_Ay,wildlife,1.0
3.070000,3.280000,20_FV,wildlife,1.0
3.730000,3.810000,03_Ee,need,1.0
3.850000,3.900000,06_Eh,anything,1.0
3.950000,4.000000,03_Ee,anything,1.0
4.170000,4.250000,06_Eh,else,1.0
