start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.000000,0.110000,20_FV,finland's,1.0,0,0,0
0.110000,0.200000,03_Ee,finland's,1.0,0,0,0
0.560000,0.680000,07_Aa,lots,1.0,1,0,0
0.770000,0.820000,07_Aa,of,1.0,2,0,0
0.820000,0.880000,20_FV,of,1.0,2,0,0
1.000000,1.120000,06_Eh,lakes,1.0,3,0,0
1.350000,1.440000,07_Aa,come,1.0,4,0,0
1.440000,1.510000,22_MBP,come,1.0,4,0,0
1.510000,1.550000,20_FV,from,1.0,5,0,0
1.610000,1.670000,07_Aa,from,1.0,5,0,0
1.610000,1.670000,22_MBP,from,1.0,5,0,0
1.670000,1.710000,03_Ee,its,1.0,6,0,0
1.950000,2.050000,06_Eh,glacial,1.0,7,0,0
2.050000,2.140000,14_ChJjSh,glacial,1.0,7,0,0
2.290000,2.360000,03_Ee,history,1.0,8,0,0
3.350000,3.530000,05_Ay,ice,1.0,9,1,1
3.790000,3.870000,07_Aa,carved,1.0,10,1,1
3.970000,4.020000,20_FV,carved,1.0,10,1,1
4.080000,4.130000,06_Eh,them,1.0,11,1,1
4.130000,4.190000,22_MBP,them,1.0,11,1,1
4.190000,4.390000,07_Aa,out,1.0,12,1,1
