start,end,pose,word,confidence
0.150000,0.240000,03_Ee,riga's,1.0
0.520000,0.580000,09_Oh,old,1.0
0.850000,1.010000,07_Aa,town,1.0
1.070000,1.140000,05_Ay,is,1.0
1.210000,1.300000,22_MBP,beautiful,1.0
1.390000,1.450000,11_Oo,beautiful,1.0
1.520000,1.640000,20_FV,beautiful,1.0
2.490000,2.570000,12_Ww-Oo-,want,1.0
2.570000,2.610000,07_Aa,want,1.0
2.670000,2.700000,07_Aa,a,1.0
2.810000,2.930000,07_Aa,sandwich,1.0
3.050000,3.100000,12_Ww-Oo-,sandwich,1.0
3.100000,3.340000,14_ChJjSh,sandwich,1.0
