start,end,pose,word,confidence
0.000000,0.100000,20_FV,visit,1.0
0.100000,0.190000,03_Ee,visit,1.0
0.546500,0.681500,06_Eh,maasai,1.0
0.632500,0.737500,22_MBP,mara,1.0
0.776500,0.911500,07_Aa,mara,1.0
1.141500,1.276500,09_Oh,or,1.0
1.584000,1.694000,05_Ay,climb,1.0
1.662500,1.767500,22_MBP,climb,1.0
1.747500,1.852500,22_MBP,mount,1.0
1.936500,2.071500,07_Aa,mount,1.0
2.356500,2.491500,06_Eh,kenya,1.0
3.521500,3.656500,12_Ww-Oo-,want,1.0
3.581500,3.716500,07_Aa,want,1.0
3.761500,3.896500,07_Aa,a,1.0
4.006500,4.141500,07_Aa,sandwich,1.0
4.206500,4.341500,12_Ww-Oo-,sandwich,1.0
4.439500,4.534500,14_ChJjSh,sandwich,1.0
