start,end,pose,word,confidence
0.370000,0.460000,14_ChJjSh,jamaica's,1.0
0.500000,0.570000,22_MBP,jamaica's,1.0
0.570000,0.660000,06_Eh,jamaica's,1.0
0.850000,0.990000,14_ChJjSh,jerk,1.0
0.990000,1.120000,06_Eh,jerk,1.0
1.250000,1.370000,14_ChJjSh,chicken,1.0
1.370000,1.430000,03_Ee,chicken,1.0
1.730000,1.860000,07_Aa,sounds,1.0
2.090000,2.310000,11_Oo,good,1.0
3.050000,3.150000,12_Ww-Oo-,want,1.0
3.150000,3.180000,07_Aa,want,1.0
3.240000,3.270000,07_Aa,a,1.0
3.380000,3.500000,07_Aa,sandwich,1.0
3.610000,3.670000,12_Ww-Oo-,sandwich,1.0
3.670000,3.890000,14_ChJjSh,sandwich,1.0
