start,end,pose,word,confidence
0.039200,0.174200,12_Ww-Oo-,welcome,1.0
0.116500,0.251500,06_Eh,welcome,1.0
0.472500,0.577500,22_MBP,welcome,1.0
0.656500,0.791500,11_Oo,to,1.0
0.821500,0.956500,07_Aa,alfie's,1.0
1.040000,1.140000,20_FV,alfie's,1.0
1.176500,1.311500,03_Ee,alfie's,1.0
1.372500,1.477500,22_MBP,bodega,1.0
1.521500,1.656500,09_Oh,bodega,1.0
1.721500,1.856500,06_Eh,bodega,1.0
2.471500,2.606500,07_Aa,how,1.0
2.676500,2.811500,07_Aa,can,1.0
2.884000,2.994000,05_Ay,i,1.0
3.056500,3.191500,06_Eh,help,1.0
3.222500,3.327500,22_MBP,help,1.0
3.431500,3.566500,11_Oo,you,1.0
3.901500,4.036500,06_Eh,today,1.0
