start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.390000,0.650000,05_Ay,iceland's,1.0,0,0,0
1.150000,1.220000,22_MBP,smoked,1.0,1,0,0
1.220000,1.330000,09_Oh,smoked,1.0,1,0,0
1.530000,1.700000,07_Aa,salmon,1.0,2,0,0
1.700000,1.750000,22_MBP,salmon,1.0,2,0,0
1.840000,1.900000,05_Ay,is,1.0,3,0,0
1.970000,2.020000,07_Aa,a,1.0,4,0,0
2.230000,2.400000,03_Ee,treat,1.0,5,0,0
2.990000,3.100000,12_Ww-Oo-,want,1.0,6,1,1
3.100000,3.170000,07_Aa,want,1.0,6,1,1
3.230000,3.270000,07_Aa,a,1.0,7,1,1
3.410000,3.560000,07_Aa,sandwich,1.0,8,1,1
3.640000,3.680000,12_Ww-Oo-,sandwich,1.0,8,1,1
3.680000,3.770000,14_ChJjSh,sandwich,1.0,8,1,1
3.770000,3.810000,12_Ww-Oo-,with,1.0,9,1,1
3.810000,3.860000,03_Ee,with,1.0,9,1,1
3.950000,4.160000,07_Aa,that,1.0,10,1,1
