start,end,pose,word,confidence
0.129200,0.264200,07_Aa,afghanistan,1.0
0.200000,0.300000,20_FV,afghanistan,1.0
0.321500,0.456500,07_Aa,afghanistan,1.0
1.026500,1.161500,07_Aa,has,1.0
1.241500,1.376500,07_Aa,the,1.0
1.306500,1.411500,22_MBP,biggest,1.0
1.516500,1.651500,03_Ee,biggest,1.0
2.021500,2.156500,07_Aa,landlocked,1.0
2.677500,2.782500,22_MBP,body,1.0
2.761500,2.896500,07_Aa,body,1.0
2.861500,2.996500,03_Ee,body,1.0
2.936500,3.071500,07_Aa,of,1.0
3.030000,3.130000,20_FV,of,1.0
3.111500,3.246500,12_Ww-Oo-,water,1.0
3.216500,3.351500,09_Oh,water,1.0
3.561500,3.696500,03_Ee,in,1.0
3.826500,3.961500,07_Aa,the,1.0
3.941500,4.076500,12_Ww-Oo-,world,1.0
4.511500,4.646500,06_Eh,world,1.0
5.077500,5.212500,06_Eh,lake,1.0
5.127500,5.262500,06_Eh,zarghoona,1.0
