start,end,pose,word,confidence
0.006500,0.141500,07_Aa,the,1.0
0.071500,0.176500,22_MBP,bahamas,1.0
0.311500,0.446500,07_Aa,bahamas,1.0
0.616500,0.751500,07_Aa,are,1.0
0.886500,1.021500,09_Oh,known,1.0
1.055000,1.155000,20_FV,for,1.0
1.121500,1.256500,09_Oh,for,1.0
1.306500,1.441500,06_Eh,their,1.0
1.496500,1.631500,03_Ee,crystal,1.0
2.066500,2.201500,03_Ee,clear,1.0
2.221500,2.356500,12_Ww-Oo-,waters,1.0
2.321500,2.456500,09_Oh,waters,1.0
2.686500,2.821500,07_Aa,and,1.0
2.892500,2.997500,22_MBP,pink,1.0
3.006500,3.141500,03_Ee,pink,1.0
3.341500,3.476500,07_Aa,sand,1.0
3.542500,3.647500,22_MBP,beaches,1.0
3.656500,3.791500,03_Ee,beaches,1.0
3.764500,3.859500,14_ChJjSh,beaches,1.0
