start,end,pose,word,confidence
0.000000,0.210000,05_Ay,i'm,1.0
0.210000,0.290000,22_MBP,i'm,1.0
0.430000,0.510000,07_Aa,sorry,1.0
0.650000,0.810000,03_Ee,sorry,1.0
1.180000,1.350000,05_Ay,i,1.0
1.460000,1.520000,03_Ee,didn't,1.0
1.750000,1.840000,07_Aa,catch,1.0
1.840000,1.960000,14_ChJjSh,catch,1.0
2.000000,2.190000,07_Aa,that,1.0
2.710000,2.740000,07_Aa,can,1.0
2.780000,2.860000,05_Ay,i,1.0
2.920000,2.970000,06_Eh,help,1.0
3.040000,3.110000,22_MBP,help,1.0
3.140000,3.200000,11_Oo,you,1.0
3.200000,3.230000,12_Ww-Oo-,with,1.0
3.230000,3.270000,03_Ee,with,1.0
3.380000,3.440000,07_Aa,something,1.0
3.440000,3.490000,22_MBP,something,1.0
3.640000,3.700000,06_Eh,else,1.0
