start,end,pose,word,confidence
0.120000,0.260000,14_ChJjSh,chips,1.0
0.260000,0.350000,03_Ee,chips,1.0
0.350000,0.400000,22_MBP,chips,1.0
0.480000,0.540000,07_Aa,are,1.0
0.600000,0.700000,14_ChJjSh,just,1.0
0.700000,0.770000,07_Aa,just,1.0
0.990000,1.060000,11_Oo,two,1.0
1.110000,1.240000,07_Aa,dollars,1.0
2.180000,2.250000,12_Ww-Oo-,want,1.0
2.250000,2.290000,07_Aa,want,1.0
2.360000,2.390000,11_Oo,to,1.0
2.530000,2.620000,05_Ay,try,1.0
2.620000,2.700000,07_Aa,a,1.0
2.850000,2.970000,07_Aa,sandwich,1.0
3.040000,3.080000,12_Ww-Oo-,sandwich,1.0
3.120000,3.230000,14_ChJjSh,sandwich,1.0
3.230000,3.310000,03_Ee,instead,1.0
3.490000,3.620000,06_Eh,instead,1.0
