start,end,pose,word,confidence
0.139200,0.274200,06_Eh,ecuador,1.0
0.251500,0.386500,12_Ww-Oo-,ecuador,1.0
0.546500,0.681500,09_Oh,ecuador,1.0
0.831500,0.966500,07_Aa,has,1.0
1.316500,1.451500,07_Aa,stunning,1.0
1.806500,1.941500,07_Aa,andes,1.0
2.051500,2.186500,03_Ee,andes,1.0
2.197500,2.302500,22_MBP,mountains,1.0
2.286500,2.421500,07_Aa,mountains,1.0
2.766500,2.901500,07_Aa,and,1.0
2.945000,3.045000,20_FV,vibrant,1.0
3.054000,3.164000,05_Ay,vibrant,1.0
3.106500,3.211500,22_MBP,vibrant,1.0
3.471500,3.606500,07_Aa,culture,1.0
3.614500,3.709500,14_ChJjSh,culture,1.0
4.311500,4.446500,12_Ww-Oo-,want,1.0
4.416500,4.551500,07_Aa,want,1.0
4.681500,4.816500,11_Oo,to,1.0
4.809000,4.919000,05_Ay,try,1.0
4.976500,5.111500,07_Aa,some,1.0
5.042500,5.147500,22_MBP,some,1.0
5.129499,5.224500,14_ChJjSh,chips,1.0
5.266500,5.401500,03_Ee,chips,1.0
5.422501,5.527500,22_MBP,chips,1.0
