start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.560000,0.670000,03_Ee,greece,1.0,0,0,0
0.850000,0.930000,07_Aa,has,1.0,1,0,0
1.090000,1.180000,07_Aa,yummy,1.0,2,0,0
1.180000,1.240000,22_MBP,yummy,1.0,2,0,0
1.240000,1.320000,03_Ee,yummy,1.0,2,0,0
1.320000,1.450000,14_ChJjSh,gyros,1.0,3,0,0
1.450000,1.620000,05_Ay,gyros,1.0,3,0,0
1.710000,1.840000,09_Oh,gyros,1.0,3,0,0
1.930000,1.970000,07_Aa,and,1.0,4,0,0
2.070000,2.110000,22_MBP,beautiful,1.0,5,0,0
2.180000,2.230000,11_Oo,beautiful,1.0,5,0,0
2.300000,2.370000,20_FV,beautiful,1.0,5,0,0
2.480000,2.630000,05_Ay,islands,1.0,6,0,0
3.410000,3.500000,12_Ww-Oo-,want,1.0,7,1,1
3.500000,3.570000,07_Aa,want,1.0,7,1,1
3.630000,3.670000,07_Aa,a,1.0,8,1,1
3.670000,3.820000,14_ChJjSh,chip,1.0,9,1,1
3.820000,3.880000,03_Ee,chip,1.0,9,1,1
3.880000,3.940000,22_MBP,chip,1.0,9,1,1
4.000000,4.050000,11_Oo,to,1.0,10,1,1
4.220000,4.360000,07_Aa,snack,1.0,11,1,1
4.440000,4.620000,07_Aa,on,1.0,12,1,1
