start,end,pose,word,confidence
0.056500,0.191500,07_Aa,ghana,1.0
0.434000,0.544000,05_Ay,is,1.0
0.620000,0.720000,20_FV,famous,1.0
0.746500,0.881500,06_Eh,famous,1.0
0.827500,0.932500,22_MBP,famous,1.0
1.130000,1.230000,20_FV,for,1.0
1.246500,1.381500,09_Oh,for,1.0
1.546500,1.681500,09_Oh,cocoa,1.0
1.851500,1.986500,07_Aa,and,1.0
2.176500,2.311500,09_Oh,gold,1.0
2.893800,3.028800,12_Ww-Oo-,want,1.0
2.951500,3.086500,07_Aa,want,1.0
3.171500,3.306500,07_Aa,a,1.0
3.311500,3.446500,12_Ww-Oo-,quick,1.0
3.436500,3.571500,03_Ee,quick,1.0
3.562500,3.667500,22_MBP,bite,1.0
3.719000,3.829000,05_Ay,bite,1.0
