start,end,pose,word,confidence
0.280000,0.410000,09_Oh,austria,1.0
0.610000,0.670000,03_Ee,austria,1.0
0.760000,0.900000,05_Ay,is,1.0
0.980000,1.060000,12_Ww-Oo-,where,1.0
1.060000,1.110000,06_Eh,where,1.0
1.220000,1.280000,11_Oo,you'll,1.0
1.320000,1.440000,20_FV,find,1.0
1.440000,1.570000,05_Ay,find,1.0
1.660000,1.700000,07_Aa,the,1.0
1.700000,1.810000,20_FV,famous,1.0
1.810000,1.920000,06_Eh,famous,1.0
1.920000,1.980000,22_MBP,famous,1.0
2.210000,2.300000,09_Oh,salzburg,1.0
2.380000,2.420000,22_MBP,salzburg,1.0
2.960000,3.050000,09_Oh,home,1.0
3.050000,3.120000,22_MBP,home,1.0
3.120000,3.160000,07_Aa,of,1.0
3.160000,3.220000,20_FV,of,1.0
3.220000,3.300000,22_MBP,mozart,1.0
3.300000,3.390000,09_Oh,mozart,1.0
3.450000,3.530000,07_Aa,mozart,1.0
