start,end,pose,word,confidence
0.476500,0.611500,03_Ee,israel's,1.0
0.716500,0.851500,06_Eh,israel's,1.0
1.031500,1.166500,11_Oo,hummus,1.0
1.096500,1.201500,22_MBP,hummus,1.0
1.361500,1.496500,07_Aa,and,1.0
1.550000,1.650000,20_FV,falafel,1.0
1.796500,1.931500,07_Aa,falafel,1.0
2.206500,2.341500,07_Aa,are,1.0
2.606500,2.741500,03_Ee,delicious,1.0
2.719500,2.814500,14_ChJjSh,delicious,1.0
3.843800,3.978800,12_Ww-Oo-,want,1.0
3.893800,4.028800,07_Aa,want,1.0
4.006500,4.141500,07_Aa,a,1.0
4.216500,4.351500,07_Aa,sandwich,1.0
4.416500,4.551500,12_Ww-Oo-,sandwich,1.0
4.614500,4.709500,14_ChJjSh,sandwich,1.0
