start,end,pose,word,confidence
0.059200,0.194200,06_Eh,cobu,1.0
0.500000,0.600000,20_FV,verde,1.0
0.600000,0.810000,06_Eh,verde,1.0
0.850000,1.020000,03_Ee,verde,1.0
1.100000,1.200000,07_Aa,has,1.0
1.270000,1.350000,22_MBP,beautiful,1.0
1.440000,1.520000,11_Oo,beautiful,1.0
1.600000,1.680000,20_FV,beautiful,1.0
1.770000,1.860000,22_MBP,beaches,1.0
1.860000,1.970000,03_Ee,beaches,1.0
1.970000,2.070000,14_ChJjSh,beaches,1.0
2.220000,2.290000,07_Aa,and,1.0
2.460000,2.570000,06_Eh,turtles,1.0
3.340000,3.470000,03_Ee,need,1.0
3.510000,3.600000,06_Eh,anything,1.0
3.640000,3.710000,03_Ee,anything,1.0
3.890000,3.970000,06_Eh,else,1.0
