start,end,pose,word,confidence
0.299200,0.434200,06_Eh,ikiana,1.0
0.566500,0.701500,07_Aa,sounds,1.0
0.981500,1.116500,03_Ee,interesting,1.0
2.331500,2.466500,12_Ww-Oo-,want,1.0
2.396500,2.531500,07_Aa,want,1.0
2.576500,2.711500,07_Aa,a,1.0
2.689500,2.784500,14_ChJjSh,chip,1.0
2.796500,2.931500,03_Ee,chip,1.0
3.117500,3.222500,22_MBP,chip,1.0
3.191500,3.326500,11_Oo,to,1.0
3.289000,3.399000,05_Ay,try,1.0
3.451500,3.586500,07_Aa,something,1.0
3.516500,3.621500,22_MBP,something,1.0
3.941500,4.076500,11_Oo,new,1.0
