start,end,pose,word,confidence
0.310000,0.410000,03_Ee,indeed,1.0
1.150000,1.230000,07_Aa,and,1.0
1.330000,1.390000,03_Ee,did,1.0
1.510000,1.550000,11_Oo,you,1.0
1.620000,1.750000,09_Oh,know,1.0
1.750000,1.800000,03_Ee,it's,1.0
1.880000,1.960000,09_Oh,also,1.0
2.290000,2.340000,07_Aa,the,1.0
2.340000,2.420000,22_MBP,birthplace,1.0
2.420000,2.530000,06_Eh,birthplace,1.0
2.850000,2.890000,07_Aa,of,1.0
2.890000,2.960000,20_FV,of,1.0
3.030000,3.130000,07_Aa,tango,1.0
3.240000,3.410000,09_Oh,tango,1.0
