start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.320000,0.420000,11_Oo,cuba,1.0,0,0,0
0.420000,0.470000,22_MBP,cuba,1.0,0,0,0
0.640000,0.780000,07_Aa,has,1.0,1,0,0
0.900000,1.070000,22_MBP,amazing,1.0,2,0,0
1.070000,1.250000,06_Eh,amazing,1.0,2,0,0
1.490000,1.520000,22_MBP,music,1.0,3,0,0
1.600000,1.690000,11_Oo,music,1.0,3,0,0
2.070000,2.140000,07_Aa,and,1.0,4,0,0
2.300000,2.350000,09_Oh,old,1.0,5,0,0
2.790000,2.900000,07_Aa,classic,1.0,6,0,0
3.300000,3.410000,07_Aa,cars,1.0,7,0,0
