start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.360000,0.520000,07_Aa,congo,1.0,0,0,0
0.630000,0.800000,09_Oh,congo,1.0,0,0,0
0.860000,0.970000,07_Aa,has,1.0,1,0,0
1.100000,1.140000,05_Ay,diverse,1.0,2,0,0
1.140000,1.230000,20_FV,diverse,1.0,2,0,0
1.230000,1.350000,06_Eh,diverse,1.0,2,0,0
1.440000,1.550000,12_Ww-Oo-,wildlife,1.0,3,0,0
1.550000,1.640000,05_Ay,wildlife,1.0,3,0,0
1.940000,2.040000,20_FV,wildlife,1.0,3,0,0
2.070000,2.140000,07_Aa,and,1.0,4,0,0
2.330000,2.440000,07_Aa,lush,1.0,5,0,0
2.440000,2.570000,14_ChJjSh,lush,1.0,5,0,0
2.660000,2.790000,07_Aa,landscapes,1.0,6,0,0
3.130000,3.190000,06_Eh,landscapes,1.0,6,0,0
3.190000,3.340000,22_MBP,landscapes,1.0,6,0,0
3.910000,4.000000,12_Ww-Oo-,want,1.0,7,1,1
4.000000,4.040000,07_Aa,want,1.0,7,1,1
4.100000,4.130000,07_Aa,a,1.0,8,1,1
4.270000,4.400000,07_Aa,sandwich,1.0,9,1,1
4.510000,4.550000,12_Ww-Oo-,sandwich,1.0,9,1,1
4.550000,4.640000,14_ChJjSh,sandwich,1.0,9,1,1
4.640000,4.680000,03_Ee,instead,1.0,10,1,1
4.860000,5.020000,06_Eh,instead,1.0,10,1,1
