start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.150000,0.270000,09_Oh,hello,1.0,0,0,0
0.330000,0.400000,06_Eh,there,1.0,1,0,0
0.780000,0.820000,12_Ww-Oo-,what,1.0,2,1,0
0.820000,0.900000,07_Aa,what,1.0,2,1,0
1.070000,1.100000,07_Aa,can,1.0,3,1,0
1.140000,1.240000,05_Ay,i,1.0,4,1,0
1.310000,1.380000,06_Eh,get,1.0,5,1,0
1.420000,1.490000,20_FV,for,1.0,6,1,0
1.490000,1.530000,09_Oh,for,1.0,6,1,0
1.640000,1.710000,11_Oo,you,1.0,7,1,0
1.910000,2.240000,06_Eh,today,1.0,8,1,0
