start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.170000,0.270000,14_ChJjSh,germany,1.0,0,0,0
0.270000,0.400000,06_Eh,germany,1.0,0,0,0
0.400000,0.450000,22_MBP,germany,1.0,0,0,0
0.530000,0.690000,03_Ee,germany,1.0,0,0,0
0.690000,0.800000,22_MBP,made,1.0,1,0,0
0.800000,0.930000,06_Eh,made,1.0,1,0,0
1.020000,1.060000,07_Aa,the,1.0,2,0,0
1.060000,1.200000,20_FV,first,1.0,3,0,0
1.200000,1.310000,06_Eh,first,1.0,3,0,0
1.510000,1.570000,22_MBP,computer,1.0,4,0,0
1.720000,1.780000,11_Oo,computer,1.0,4,0,0
1.880000,1.950000,22_MBP,mouse,1.0,5,0,0
1.950000,2.130000,07_Aa,mouse,1.0,5,0,0
2.930000,3.040000,12_Ww-Oo-,want,1.0,6,1,1
3.040000,3.100000,07_Aa,want,1.0,6,1,1
3.160000,3.190000,07_Aa,a,1.0,7,1,1
3.320000,3.450000,07_Aa,sandwich,1.0,8,1,1
3.540000,3.580000,12_Ww-Oo-,sandwich,1.0,8,1,1
3.660000,4.030000,14_ChJjSh,sandwich,1.0,8,1,1
