start,end,pose,word,confidence
0.571600,0.676600,22_MBP,montenegro,1.0
0.666500,0.801500,07_Aa,montenegro,1.0
1.141500,1.276500,06_Eh,montenegro,1.0
1.406500,1.541500,09_Oh,montenegro,1.0
1.677400,1.782400,22_MBP,mountainous,1.0
1.721500,1.856500,07_Aa,mountainous,1.0
2.361500,2.496500,07_Aa,and,1.0
2.681500,2.816500,09_Oh,coastal,1.0
3.476500,3.611500,12_Ww-Oo-,want,1.0
3.526500,3.661500,07_Aa,want,1.0
3.766500,3.901500,07_Aa,some,1.0
3.831500,3.936500,22_MBP,some,1.0
3.889500,3.984500,14_ChJjSh,chips,1.0
3.991500,4.126500,03_Ee,chips,1.0
4.082500,4.187500,22_MBP,chips,1.0
