start,end,pose,word,confidence
0.110000,0.160000,07_Aa,the,1.0
0.290000,0.410000,07_Aa,congo,1.0
0.530000,0.650000,09_Oh,congo,1.0
0.720000,0.840000,07_Aa,has,1.0
0.950000,1.010000,07_Aa,the,1.0
1.200000,1.270000,06_Eh,second,1.0
1.540000,1.610000,07_Aa,largest,1.0
1.690000,1.760000,14_ChJjSh,largest,1.0
2.004000,2.114000,05_Ay,rainforest,1.0
2.155000,2.255000,20_FV,rainforest,1.0
2.236500,2.371500,09_Oh,rainforest,1.0
2.590000,2.630000,03_Ee,in,1.0
2.700000,2.750000,07_Aa,the,1.0
2.750000,2.880000,12_Ww-Oo-,world,1.0
2.880000,2.990000,06_Eh,world,1.0
