start,end,pose,word,confidence
0.427500,0.532500,22_MBP,dominican,1.0
0.481500,0.616500,03_Ee,dominican,1.0
0.911500,1.046500,03_Ee,republic,1.0
0.976500,1.081500,22_MBP,republic,1.0
1.101500,1.236500,07_Aa,republic,1.0
1.541500,1.676500,07_Aa,has,1.0
1.672500,1.777500,22_MBP,beautiful,1.0
1.876500,2.011500,11_Oo,beautiful,1.0
2.140000,2.240000,20_FV,beautiful,1.0
2.367500,2.472500,22_MBP,beaches,1.0
2.471500,2.606500,03_Ee,beaches,1.0
2.569500,2.664500,14_ChJjSh,beaches,1.0
2.881500,3.016500,07_Aa,and,1.0
3.231500,3.366500,03_Ee,rich,1.0
3.339500,3.434500,14_ChJjSh,rich,1.0
3.496500,3.631500,03_Ee,history,1.0
5.056500,5.191500,12_Ww-Oo-,want,1.0
5.111500,5.246500,07_Aa,want,1.0
5.331500,5.466500,11_Oo,to,1.0
5.464000,5.574000,05_Ay,try,1.0
5.541500,5.676500,07_Aa,a,1.0
5.711500,5.846500,07_Aa,sandwich,1.0
5.871500,6.006500,12_Ww-Oo-,sandwich,1.0
6.139500,6.234500,14_ChJjSh,sandwich,1.0
