start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.170000,0.870000,22_MBP,bangladesh,1.0,0,0,0
0.256500,0.391500,07_Aa,bangladesh,1.0,0,0,0
0.676500,0.811500,06_Eh,bangladesh,1.0,0,0,0
0.784500,0.879500,14_ChJjSh,bangladesh,1.0,0,0,0
0.920000,1.010000,07_Aa,has,1.0,1,0,0
1.100000,1.180000,07_Aa,the,1.0,2,0,0
1.330000,1.400000,07_Aa,largest,1.0,3,0,0
1.490000,1.570000,14_ChJjSh,largest,1.0,3,0,0
1.850000,1.910000,03_Ee,river,1.0,4,0,0
1.910000,1.950000,20_FV,river,1.0,4,0,0
2.100000,2.170000,06_Eh,delta,1.0,5,0,0
2.450000,2.480000,03_Ee,in,1.0,6,0,0
2.560000,2.600000,07_Aa,the,1.0,7,0,0
2.600000,2.730000,12_Ww-Oo-,world,1.0,8,0,0
2.730000,2.870000,06_Eh,world,1.0,8,0,0
