start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.210000,0.340000,07_Aa,cameroon,1.0,0,0,0
0.340000,0.410000,22_MBP,cameroon,1.0,0,0,0
0.530000,0.690000,11_Oo,cameroon,1.0,0,0,0
0.800000,0.910000,07_Aa,has,1.0,1,0,0
0.980000,1.090000,22_MBP,mount,1.0,2,0,0
1.090000,1.210000,07_Aa,mount,1.0,2,0,0
1.380000,1.490000,07_Aa,cameroon,1.0,3,0,0
1.490000,1.560000,22_MBP,cameroon,1.0,3,0,0
1.650000,1.860000,11_Oo,cameroon,1.0,3,0,0
2.310000,2.370000,07_Aa,the,1.0,4,1,0
2.480000,2.580000,05_Ay,highest,1.0,5,1,0
2.850000,2.930000,22_MBP,peak,1.0,6,1,0
2.930000,3.060000,03_Ee,peak,1.0,6,1,0
3.110000,3.170000,07_Aa,and,1.0,7,1,0
3.340000,3.440000,07_Aa,tropical,1.0,8,1,0
3.440000,3.490000,22_MBP,tropical,1.0,8,1,0
3.494000,3.604000,05_Ay,rainforests,1.0,9,1,0
3.655000,3.755000,20_FV,rainforests,1.0,9,1,0
3.756500,3.891500,09_Oh,rainforests,1.0,9,1,0
5.020000,5.110000,03_Ee,need,1.0,10,2,1
5.150000,5.220000,06_Eh,anything,1.0,11,2,1
5.260000,5.320000,03_Ee,anything,1.0,11,2,1
5.490000,5.570000,06_Eh,else,1.0,12,2,1
