start,end,pose,word,confidence
0.116500,0.251500,06_Eh,denmark,1.0
0.247500,0.352500,22_MBP,denmark,1.0
0.301500,0.436500,07_Aa,denmark,1.0
0.556500,0.691500,07_Aa,has,1.0
0.891500,1.026500,11_Oo,cute,1.0
1.116500,1.251500,03_Ee,little,1.0
1.466500,1.601500,07_Aa,towns,1.0
1.611500,1.746500,07_Aa,and,1.0
1.901500,2.036500,03_Ee,delicious,1.0
1.979500,2.074500,14_ChJjSh,delicious,1.0
2.127500,2.232500,22_MBP,pastries,1.0
2.266500,2.401500,06_Eh,pastries,1.0
2.601500,2.736500,03_Ee,pastries,1.0
